ID объекта СКУП;Адрес УИК/ТИК;Наименование УИК/ТИК;Технология подключения;Техническое решение;Наименование Оператора ПМ;Информация по организации канала до объекта;Принадлженость объекта к МЦТЭТ: АМЦТЭТ,ТГЦТЭТ, ВМЦТЭТ, НМЦТЭТ, КМЦТЭТ, УСТП-1,УСТП-2,УСТП-3,УСТП-4,УСТП-5,УСТП-6,УСТП-7;Информацию заносит сотрудник ТБ. Вид наряда на организацию канала: по существующему подключению ВОЛС/МЕДЬ. организация нового канала ВОЛС/МЕДЬ;Ком. блок. Наряд выписан № наряда;Необходимость оконечного оборудования (модемы:ADSL/SHDSL, коммутатор 8 портов);IP-adress/Port Оборудования на УД (DSLAM, комметатор агригации);Канал организован и протестирован скорость соответствует Да/Нет;Указать порт на оконечном устройстве. Его необходимо заклеить монтажной лентой с пометкой выборы.;Место расположение оконечного устройства;Примечание;IP addres коммутатора на объекте (при его наличии);Готовность объекта. ДА;Выделенная сеть;Учёт оборудования;RID объекта;Подрядчик;IP адрес CAM1 Комиссия;IP адрес CAM2 Урна;IP адрес коммутатора в шкафу УИК/ТИК;IP адрес контроллера;Канал прописан РЦУСС;Камера зарегистрирована;IP шлюза;Vlan на PE;Description;ФИО основного ответственного за УИК;E-mail основного ответственного за УИК;Контактный телефон (служебный/сотовый) основного ответственного за УИК;ФИО заместителя на время отсутствия основного ответственного за УИК;E-mail заместителя на время отсутствия основного ответственного за УИК;Контактный телефон (служебный/сотовый) заместителя на время отсутствия основного ответственного за УИК;Объект принят 2ЛТП и сдан в эксплуатацию;Контроллер сконфигурирован и подключен. ДА;Статус;Online Test;Протестировано;Cинхронизация;Акт П16 подписан, демонтаж произведён;;;;;
71001;Донецк,Цветкова,20А;УИК №574;Организация канала по технологии ADSL;Т-6;ПАО "Ростелеком";Существующая Медь (доумощнение);КМЦТЭТ;организация нового канала медь;863930108020713.18;ADSL-модем;DSLAM IP-10.30.68.17, порт 0/11/41;да;1;1 этаж кабинет технологии;;;09.02.18;10.234.23.224/28;4 очередь;B61K0574;АИСиС -Регион;10.234.23.226;10.234.23.227;10.234.23.238;10.234.23.228;03.02.18;Да;10.234.23.225;2382;574DoneckCvetkova20A;Андреев Александр Николаевич;Aleksandr.Andreev@south.rt.ru ;+7(918)-540-0899 ;Чесноков Андрей Вадимович  	  ;Andrey.Chesnokov@south.rt.ru;+7(989)-727-7748 ;;;danger;Online Test;Василенков 02.03.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71002;Зверево,Советская,120А;УИК №631;Альтернативный оператор;Т-21;Энфорта;Канал на ресурсах АО;НМЦТЭТ;;Энфорта/ЭрТелеком;;;да;;;;;10.02.18;10.234.23.240/28;;B61K0631;АИСиС -Регион;10.234.23.242;10.234.23.243;10.234.23.254;10.234.23.244;да, 06.02.2018, Энфорта, стык в Шахтах, vlan 2206;да;10.234.23.241;2383;631ZverevoSovetskaya120A;Лях Виктор Иванович;Viktor.Lyakh@south.rt.ru;8(86355)4-30-30 +7(989)-616-7965;Лобанов Виктор Иванович;Viktor.Lobanov@south.rt.ru;8(86361)5-24-44 +7(918)-540-1601 ;;;success;Online Test;Василенков 02.03.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71013;Гуково,Кутузова,30;УИК №537;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);НМЦТЭТ;Организация нового канала ВОЛС;863930108414811.18;нет необходимости;Коммутатор агрегации: 10.30.61.39, порт G0/0/22;да;Голосовой шлюз RG-1402GF-W 10.30.61.209 порт 4 ;1 этаж. Кабинет дежурного. Правое крыло.;;;28.01.18;10.234.24.0/28;Добавлено;B61K0537;АИСиС -Регион;10.234.24.2;10.234.24.3;10.234.24.14;10.234.24.4;да;Да;10.234.24.1;2384;537GukovoKutuzova30;Лобанов Виктор Иванович;Viktor.Lobanov@south.rt.ru ;8(86361)5-24-44 +7(918)-540-1601 ;Лях Виктор Иванович ;Viktor.Lyakh@south.rt.ru;8(86355)4-30-30 +7(989)-616-7965;;;danger;Online Test;01.03.18 Попов;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71021;Зверево,Докукина,6;УИК №632;Альтернативный оператор;Т-21;Энфорта;Канал на ресурсах АО;НМЦТЭТ;;Энфорта/ЭрТелеком;;;да;;;;;11.02.18;10.234.24.16/28;;B61K0632;АИСиС -Регион;10.234.24.18;10.234.24.19;10.234.24.30;10.234.24.20;да, 06.02.2018, Энфорта, стык в Шахтах, vlan 2210;да;10.234.24.17;2385;632ZverevoDokukina6;Лях Виктор Иванович;Viktor.Lyakh@south.rt.ru;8(86355)4-30-30 +7(989)-616-7965;Лобанов Виктор Иванович;Viktor.Lobanov@south.rt.ru;8(86361)5-24-44 +7(918)-540-1601 ;;;success;Online Test;Волобуев01.02.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71022;Зверево,Докукина,13А;УИК №633;Организация канала по технологии ADSL;Т-6;ПАО "Ростелеком";Существующая Медь (доумощнение);НМЦТЭТ;организация нового канала медь;863930108244546.18 863930108265969.18;нет необходимости;DSLAM IP-10.30.55.7, порт 0/0/1 ;да;порт ADSL модема 1;;;;10.02.18;10.234.24.32/28;;B61K0633;АИСиС -Регион;10.234.24.34;10.234.24.35;10.234.24.46;10.234.24.36;05.02.18;да;10.234.24.33;2386;633ZverevoDokukina13A;Лях Виктор Иванович;Viktor.Lyakh@south.rt.ru;8(86355)4-30-30 +7(989)-616-7965;Лобанов Виктор Иванович;Viktor.Lobanov@south.rt.ru	;8(86361)5-24-44 +7(918)-540-1601 ;;;success;Online Test;Василенков 02.03.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71023;Зверево,Строительная,19;УИК №634;Организация канала по технологии SHDSL;Т-8;ПАО "Ростелеком";Существующая Медь (доумощнение);НМЦТЭТ;организация нового канала медь;863930108111532.18, 863930108111568.18;нет необходимости;коммутатор: 10.30.55.2 порт 17;да;порт SHDSL модема 1;;;;10.02.18;10.234.24.48/28;5 очередь;B61K0634;АИСиС -Регион;10.234.24.50;10.234.24.51;10.234.24.62;10.234.24.52;05.02.18;да;10.234.24.49;2387;634ZverevoStroitelnaya19;Лях Виктор Иванович;Viktor.Lyakh@south.rt.ru;8(86355)4-30-30 +7(989)-616-7965;Лобанов Виктор Иванович;Viktor.Lobanov@south.rt.ru ;8(86361)5-24-44 +7(918)-540-1601 ;;да;success;Online Test;Василенков 02.03.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71024;Зверево,Казакова,12;УИК №635;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);НМЦТЭТ;Организация нового канала ВОЛС;863930106917552.18.  863930106917585.18;не требуется;коммутатор агрегации:10.30.55.14 порт 0/0/14;да; коммутатор 10.55.4.15 порт 11;;;;29.01.18;10.234.24.64/28;Добавлено;B61K0635;АИСиС -Регион;10.234.24.66;10.234.24.67;10.234.24.78;10.234.24.68;да;Да;10.234.24.65;2388;635ZverevoKazakova12;Лях Виктор Иванович;Viktor.Lyakh@south.rt.ru;8(86355)4-30-30 +7(989)-616-7965;Лобанов Виктор Иванович	;Viktor.Lobanov@south.rt.ru ;8(86361)5-24-44 +7(918)-540-1601 ;;;success;Online Test;01.03.18 Попов;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71025;Зверево,Казакова,18;УИК №636;Альтернативный оператор;Т-21;Энфорта;Канал на ресурсах АО;НМЦТЭТ;;Энфорта/ЭрТелеком;;;да;;;;;10.02.18;10.234.24.80/28;;B61K0636;АИСиС -Регион;10.234.24.82;10.234.24.83;10.234.24.94;10.234.24.84;да, 08.02.2018, Энфорта, стык в Шахтах, vlan 2230;да;10.234.24.81;2389;636ZverevoKazakova18;Лях Виктор Иванович;Viktor.Lyakh@south.rt.ru;8(86355)4-30-30 +7(989)-616-7965;Лобанов Виктор Иванович ;Viktor.Lobanov@south.rt.ru ;8(86361)5-24-44 +7(918)-540-1601 ;;да;success;Online Test;Василенков 02.03.18 Fail;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71026;Зверево,Обухова,7;УИК №637;Альтернативный оператор;Т-21;Энфорта;Канал на ресурсах АО;НМЦТЭТ;;Энфорта/ЭрТелеком;;;да;;;;;13.02.18;10.234.24.96/28;;B61K0637;АИСиС -Регион;10.234.24.98;10.234.24.99;10.234.24.110;10.234.24.100;да, 08.02.2018, Энфорта, стык в Шахтах, vlan 2221;да;10.234.24.97;2390;637ZverevoObuhova7;Лях Виктор Иванович;Viktor.Lyakh@south.rt.ru;8(86355)4-30-30 +7(989)-616-7965;Лобанов Виктор Иванович ;Viktor.Lobanov@south.rt.ru ;8(86361)5-24-44 +7(918)-540-1601 ;;да;success;Online Test;Благодатский;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71027;Зверево,Осташенко,10;УИК №638;Организация канала по технологии ADSL;Т-6;ПАО "Ростелеком";Существующая Медь (доумощнение);НМЦТЭТ;организация нового канала медь;863930108266055.18  863930108266094.18;не требуется;DSLAM IP-10.30.55.8, порт 2/0/32;да;порт ADSL модема 1	;;;;10.02.18;10.234.24.112/28;5 очередь;B61K0638;АИСиС -Регион;10.234.24.114;10.234.24.115;10.234.24.126;10.234.24.116;05.02.18;да;10.234.24.113;2391;638ZverevoOstashenko10;Лях Виктор Иванович;Viktor.Lyakh@south.rt.ru;8(86355)4-30-30 +7(989)-616-7965;Лобанов Виктор Иванович ;Viktor.Lobanov@south.rt.ru;8(86361)5-24-44 +7(918)-540-1601	;;да;success;Online Test;Благодатский;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71028;Зверево,Школьная,7;УИК №639;Организация канала по технологии ADSL;Т-6;ПАО "Ростелеком";Существующая Медь (доумощнение);НМЦТЭТ;организация нового канала медь;863930108266191.18 863930108266240.18;не требуется;DSLAM IP-10.30.55.8, порт 1/0/35 ;да;порт ADSL модема 1	;;;;10.02.18;10.234.24.128/28;5 очередь;B61K0639;АИСиС -Регион;10.234.24.130;10.234.24.131;10.234.24.142;10.234.24.132;05.02.18;да;10.234.24.129;2392;639ZverevoShkolnaya7;Лях Виктор Иванович;Viktor.Lyakh@south.rt.ru;8(86355)4-30-30 +7(989)-616-7965;Лобанов Виктор Иванович ;Viktor.Lobanov@south.rt.ru;8(86361)5-24-44 +7(918)-540-1601 ;;да;success;Online Test;Благодатский;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71029;Зверево,Рижская,7;УИК №640;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);НМЦТЭТ;Организация нового канала ВОЛС;863930108111676.18;коммутатор 8 портов и комплект SFP-модулей;коммутатор агрегации:10.30.55.20 порт 1/0/2;да;коммутатор 10.55.20.129 порт 1/0/1;;;;29.01.18;10.234.24.144/28;Добавлено;B61K0640;АИСиС -Регион;10.234.24.146;10.234.24.147;10.234.24.158;10.234.24.148;да;Да;10.234.24.145;2393;640ZverevoRizhskaya7;Лях Виктор Иванович;Viktor.Lyakh@south.rt.ru;8(86355)4-30-30 +7(989)-616-7965;Лобанов Виктор Иванович ;Viktor.Lobanov@south.rt.ru;8(86361)5-24-44 +7(918)-540-1601 ;;;success;Online Test;01.03.18 Попов;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71030;Зверево,Ивановская,15;УИК №641;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);НМЦТЭТ;Организация нового канала ВОЛС;863930106919169.18. 863930106919359.18;не требуется;коммутатор агрегации:10.30.55.17 порт 0/0/15;да;коммутатор 10.55.7.16 порт 8;;;;29.01.18;10.234.24.160/28;Добавлено;B61K0641;АИСиС -Регион;10.234.24.162;10.234.24.163;10.234.24.174;10.234.24.164;да;Да;10.234.24.161;2394;641ZverevoIvanovskaya15;Лях Виктор Иванович;Viktor.Lyakh@south.rt.ru;8(86355)4-30-30 +7(989)-616-7965;Лобанов Виктор Иванович ;Viktor.Lobanov@south.rt.ru;8(86361)5-24-44 +7(918)-540-1601 ;;;success;Online Test;01.03.18 Попов;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71031;Зверево,Рижская,11;УИК №642;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);НМЦТЭТ;Организация нового канала ВОЛС;863930106919430.18.  863930106919502.18;не требуется;коммутатор агрегации:10.30.55.16 порт 0/0/22;да;коммутатор 10.55.6.23 порт 20;;;;28.01.18;10.234.24.176/28;Добавлено;B61K0642;АИСиС -Регион;10.234.24.178;10.234.24.179;10.234.24.190;10.234.24.180;да;Да;10.234.24.177;2395;642ZverevoRizhskaya11;Лях Виктор Иванович;Viktor.Lyakh@south.rt.ru;8(86355)4-30-30 +7(989)-616-7965;Лобанов Виктор Иванович ;Viktor.Lobanov@south.rt.ru;8(86361)5-24-44 +7(918)-540-1601 ;;;success;Online Test;01.03.18 Попов;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71033;Зверево,Осташенко,10;УИК №2628;Организация канала по технологии ADSL;Т-6;ПАО "Ростелеком";Существующая Медь (доумощнение);НМЦТЭТ;организация нового канала медь;863930108266307.18 863930108266369.18;не требуется;DSLAM IP-10.30.55.8, порт 2/0/39;да;порт ADSL модема 1 ;;;;10.02.18;10.234.24.192/28;5 очередь;B61K2628;АИСиС -Регион;10.234.24.194;10.234.24.195;10.234.24.206;10.234.24.196;05.02.18;да;10.234.24.193;2396;2628ZverevoOstashenko10;Лях Виктор Иванович;Viktor.Lyakh@south.rt.ru;8(86355)4-30-30 +7(989)-616-7965;Лобанов Виктор Иванович ;Viktor.Lobanov@south.rt.ru;8(86361)5-24-44 +7(918)-540-1601 ;;да;success;Online Test;Благодатский;Необходима синхронизация на стенде;;;;;;
71034;Зверево,Рижская,7;УИК №2629;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);НМЦТЭТ;Организация нового канала ВОЛС;863930108111792.18;не требуется;коммутатор агрегации:10.30.55.20 порт 1/0/2;да;коммутатор 10.55.20.129 порт 1/0/2	;;06.03.18 Заменили камеру 10.234.24.211;;29.01.18;10.234.24.208/28;Добавлено;B61K2629;АИСиС -Регион;10.234.24.210;10.234.24.211;10.234.24.222;10.234.24.212;да;Да;10.234.24.209;2397/2393;2629ZverevoRizhskaya7;Лях Виктор Иванович;Viktor.Lyakh@south.rt.ru;8(86355)4-30-30 +7(989)-616-7965;Лобанов Виктор Иванович;Viktor.Lobanov@south.rt.ru;8(86361)5-24-44 +7(918)-540-1601 ;;;success;Online Test;01.03.18 Попов;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71035;Каменск-Шахтинский,Мира,20;УИК №774;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);КМЦТЭТ;Организация нового канала ВОЛС;863930108021169.18;Заявка № 2812 - клиент/ЗШ ОСТИ ВЫБОРЫ 2018 от 28.12.2017г.;10.65.19.129/ Eth 0/0/8;да;8;Класс ОБЖ (1 этаж);Необходимо строительство от коммутатора строить линию до класса ОБЖ - 70 м.;;02.02.18;10.234.24.224/28;Добавлено;B61K0774;АИСиС -Регион;10.234.24.226;10.234.24.227;10.234.24.238;10.234.24.228;да;Да;10.234.24.225;2398;774KamenskMira20;Криворогов Владимир Владимрович  ;Vladimir.Krivorogov@south.rt.ru  ;+7(903)-462-28-85  ;Малышев Станислав Сергеевич  ; Stanislav.Malyshev@south.rt.ru  ;(989)-728-1527  ;;;danger;Online Test;01.03.18 Попов;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71036;Каменск-Шахтинский,Парк Культуры,8;УИК №775;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);КМЦТЭТ;Организация нового канала ВОЛС;863930108186735.18;;10.65.23.130 Eth1/0/16;да;2;вестибюль (второе фойе);;;05.02.18;10.234.24.240/28;Добавлено;B61K0775;АИСиС -Регион;10.234.24.242;10.234.24.243;10.234.24.254;10.234.24.244;да30/01/2018;Да;10.234.24.241;2399;775KamenskParkKultury8;Криворогов Владимир Владимрович ;Vladimir.Krivorogov@south.rt.ru ;+7(903)-462-28-85 ;Малышев Станислав Сергеевич ;Stanislav.Malyshev@south.rt.ru ;(989)-728-1527 ;;;danger;Online Test;01.03.18 Попов;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71037;Каменск-Шахтинский,Танкистов,28;УИК №777;Организация канала по технологии ADSL;Т-6;ПАО "Ростелеком";Существующая Медь (доумощнение);КМЦТЭТ;Организация нового канала МЕДЬ;863930108186405.18, 863930108186450.18;Модемы SHDSL;10.30.65.15 Adsl14/0/47;да;; фойе;Выбрана рабочая пара на ЯКГ. Необходимо строительство аб.линии от ЯКГ до УИК, т.к. на сущ. аб. линии подключена охрана - 100 м КТЦПтр 2*2*0,52, подвесы.;;19.02.18;10.234.25.0/28;5 очередь;B61K0777;АИСиС -Регион;10.234.25.2;10.234.25.3;10.234.25.14;10.234.25.4;05.02.18;Да;10.234.25.1;2400;777KamenskTankistov28;Криворогов Владимир Владимрович ;Vladimir.Krivorogov@south.rt.ru ;+7(903)-462-28-85 ;Малышев Станислав Сергеевич ;Stanislav.Malyshev@south.rt.ru ;(989)-728-1527 ;;;danger;Online Test;Благодатский;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71038;Каменск-Шахтинский,переулок Просторный,1;УИК №778;Альтернативный оператор;Т-21;Дарья;Канал на ресурсах АО;КМЦТЭТ;;Энфорта/ЭрТелеком;;80.254.122.83 xe-1/2/0 vlan 51;ПМ стороннего оператора ООО "Дарья";;вестибюль;;;16.02.18;10.234.25.16/28;;B61K0778;АИСиС -Регион;10.234.25.18;10.234.25.19;10.234.25.30;10.234.25.20;16.02.18;Да;10.234.25.17;2401;778KamenskperProstornyy1;Криворогов Владимир Владимрович ;Vladimir.Krivorogov@south.rt.ru ;+7(903)-462-28-85 ;Малышев Станислав Сергеевич ;Stanislav.Malyshev@south.rt.ru ;(989)-728-1527 ;;да;danger;Online Test;Благодатский;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71039;Каменск-Шахтинский,Западная,2;УИК №779;Альтернативный оператор;Т-21;Дарья;Канал на ресурсах АО;КМЦТЭТ;;Энфорта/ЭрТелеком;;80.254.122.83 xe-1/2/0 vlan 52;ПМ стороннего оператора ООО "Дарья";;Помещение магазина - 1 этаж;;;16.02.18;10.234.25.32/28;;B61K0779;АИСиС -Регион;10.234.25.34;10.234.25.35;10.234.25.46;10.234.25.36;16.02.18;Да;10.234.25.33;2402;779KamenskZapadnaya2;Криворогов Владимир Владимрович ;Vladimir.Krivorogov@south.rt.ru ;+7(903)-462-28-85 ;Малышев Станислав Сергеевич ;Stanislav.Malyshev@south.rt.ru ;(989)-728-1527 ;;;danger;Online Test;Благодатский;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71040;Каменск-Шахтинский,Кирова,4;УИК №780;Организация канала по технологии ADSL;Т-6;ПАО "Ростелеком";Существующая Медь (доумощнение);КМЦТЭТ;Организация нового канала МЕДЬ;863930108186562.18, 863930108186615.18;Роутер ADSL;10.30.65.15 adsl 15/0/4  ;да;;Спортзал;Нужна розетка, сплиттер.;;09.02.18;10.234.25.48/28;4 очередь;B61K0780;АИСиС -Регион;10.234.25.50;10.234.25.51;10.234.25.62;10.234.25.52;09.02.18;Да;10.234.25.49;2403;780KamenskKirova4;Криворогов Владимир Владимрович ;Vladimir.Krivorogov@south.rt.ru ;+7(903)-462-28-85 ;Малышев Станислав Сергеевич ;Stanislav.Malyshev@south.rt.ru ;(989)-728-1527 ;;;danger;Online Test;Благодатский;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71041;Каменск-Шахтинский,Мусина,80;УИК №781;На объект запланировано строительство ВОЛС технология FTTx;Т-1;ПАО "Ростелеком";Строительство ВОЛС;КМЦТЭТ;Организация нового канала ВОЛС;863930108186874.18;Заявка № 2812 - клиент/ЗШ ОСТИ ВЫБОРЫ 2018 от 28.12.2017г.;10.65.30.130 Eth 0/0/16;да;;Фойе;Работы по организации видеонаблюдения будут выполняться хоз. способом (на данный момент монтаж оборудования для УИК не произведен). Оптика заведена, коммутатор будет установлен в ближайшее время.;;26.01.18;10.234.25.64/28;Добавлено;B61K0781;Сидоренко Владимир Николаевич, Колесников Евгений Валентинович, Калинин Иван Михайлович;10.234.25.66;10.234.25.67;10.234.25.78;10.234.25.68;да;Да;10.234.25.65;2404;781KamenskMusina80;Криворогов Владимир Владимрович ;Vladimir.Krivorogov@south.rt.ru ;+7(903)-462-28-85 ;Малышев Станислав Сергеевич ;Stanislav.Malyshev@south.rt.ru ;(989)-728-1527 ;;;danger;Online Test;Николаев 27.02.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71042;Каменск-Шахтинский,Ленина,25;УИК №782;Организация канала по технологии ADSL;Т-6;ПАО "Ростелеком";Существующая Медь (доумощнение);КМЦТЭТ;Организация нового канала ВОЛС;863930108188639.18;Оконечное оборудование под технологиию FTTx;10.65.12.33 Eth 0/0/24;да;;Фойе;Смена ТВ, необходимо строительство линии от домового коммутатора Ленина 23 (2 подъезд)  Укажите ip и порт оборудования;;15.02.18;10.234.25.80/28;5 очередь;B61K0782;АИСиС -Регион;10.234.25.82;10.234.25.83;10.234.25.94;10.234.25.84;15.02.18;Да;10.234.25.81;2405;782KamenskLenina25;Криворогов Владимир Владимрович ;Vladimir.Krivorogov@south.rt.ru ;+7(903)-462-28-85 ;Малышев Станислав Сергеевич ;Stanislav.Malyshev@south.rt.ru ;(989)-728-1527 ;;;danger;Online Test;Благодатский;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71043;Каменск-Шахтинский,Володарского,43;УИК №783;Организация канала по технологии ADSL;Т-6;ПАО "Ростелеком";Существующая Медь (доумощнение);КМЦТЭТ;Организация по существующему подключению МЕДЬ;863930107740148.18;Роутер ADSL;DSLAM 10.30.65.15/ Adsl15/0/14;да;;Фойе;необходимо строить аб. линию - 70 м (Итернет) + 40 м (ОТА);;10.02.18;10.234.25.96/28;4 очередь;B61K0783;АИСиС -Регион;10.234.25.98;10.234.25.99;10.234.25.110;10.234.25.100;03.02.18;Да;10.234.25.97;2406;783KamenskVolodarskogo43;Криворогов Владимир Владимрович ;Vladimir.Krivorogov@south.rt.ru ;+7(903)-462-28-85 ;Малышев Станислав Сергеевич ;Stanislav.Malyshev@south.rt.ru ;(989)-728-1527 ;;да;danger;Online Test;Благодатский;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71044;Каменск-Шахтинский,переулок Коммунистический,72;УИК №784;Организация канала по технологии ADSL;Т-6;ПАО "Ростелеком";Существующая Медь (доумощнение);КМЦТЭТ;Организация по существующему подключению МЕДЬ;863930107740226.18;Роутер ADSL;10.30.65.15 Adsl 15/0/20;да;;Актовый зал;необходимо строить аб. линию - 40 м КССПВ 4*2 (к.тел. 7-26-54);;16.02.18;10.234.25.112/28;4 очередь;B61K0784;АИСиС -Регион;10.234.25.114;10.234.25.115;10.234.25.126;10.234.25.116;10.02.18;Да;10.234.25.113;2407;784KamenskperKommunisticheskiy72;Криворогов Владимир Владимрович ;Vladimir.Krivorogov@south.rt.ru ;+7(903)-462-28-85 ;Малышев Станислав Сергеевич ;Stanislav.Malyshev@south.rt.ru;(989)-728-1527 ;;;danger;Online Test;Благодатский;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71049;Донецк,проспект Мира,21;УИК №563;Организация канала по технологии ADSL;Т-6;ПАО "Ростелеком";Существующая Медь (доумощнение);КМЦТЭТ;организация нового канала медь;863930107740596.18;ADSL-модем;DSLAM IP-10.30.68.21, порт 0/1/24;да;2;2 этаж;;;09.02.18;10.234.25.128/28;4 очередь;B61K0563;АИСиС -Регион;10.234.25.130;10.234.25.131;10.234.25.142;10.234.25.132;03.02.18;Да;10.234.25.129;2408;563DoneckprMira21;Андреев Александр Николаевич  ;Aleksandr.Andreev@south.rt.ru  ;+7(918)-540-0899  ;Чесноков Андрей Вадимович  ;Andrey.Chesnokov@south.rt.ru  ;+7(989)-727-7748  ;;;danger;Online Test;Благодатский;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71052;Каменск-Шахтинский,переулок Володарского,74;УИК №785;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);КМЦТЭТ;Организация нового канала ВОЛС;863930108188739.18;;10.65.8.2/ Eth 0/0/10;;6-7 пара 10 порт;Читальный зал библиотеки;монтаж оборудования;;06.02.18;10.234.25.144/28;Добавлено;B61K0785;АИСиС -Регион;10.234.25.146;10.234.25.147;10.234.25.158;10.234.25.148;да;Да;10.234.25.145;2409;785KamenskperVolodarskogo74;Криворогов Владимир Владимрович ;Vladimir.Krivorogov@south.rt.ru ;+7(903)-462-28-85 ;Малышев Станислав Сергеевич ;Stanislav.Malyshev@south.rt.ru;(989)-728-1527 ;;;danger;Online Test;01.03.18 Попов;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71053;Каменск-Шахтинский,Степинь,1;УИК №786;Организация канала по технологии ADSL;Т-6;ПАО "Ростелеком";Существующая Медь (доумощнение);КМЦТЭТ;Организация нового канала МЕДЬ;863930108021593.18;Роутер ADSL;10.30.65.15 adsl 15/0/25;да;;Раздевалка;необходимо строить аб. линию - 100 м;;17.02.18;10.234.25.160/28;4 очередь;B61K0786;АИСиС -Регион;10.234.25.162;10.234.25.163;10.234.25.174;10.234.25.164;17.02.18;Да;10.234.25.161;2410;786KamenskStepin1;Криворогов Владимир Владимрович ;Vladimir.Krivorogov@south.rt.ru ;+7(903)-462-28-85 ;Малышев Станислав Сергеевич ;Stanislav.Malyshev@south.rt.ru;(989)-728-1527 ;;да;danger;Online Test;Благодатский;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71054;Каменск-Шахтинский,проспект К.Маркса,62;УИК №787;Организация канала по технологии ADSL;Т-6;ПАО "Ростелеком";Существующая Медь (доумощнение);КМЦТЭТ;Организация нового канала МЕДЬ;863930108022456.18;Роутер ADSL;10.30.65.15 Adsl 1/0/8;да;;Фойе (второе);необходимо строить аб. линию - 40 м;;13.02.18;10.234.25.176/28;4 очередь;B61K0787;АИСиС -Регион;10.234.25.178;10.234.25.179;10.234.25.190;10.234.25.180;03.02.18;Да;10.234.25.177;2411;787KamenskprKMarksa62;Криворогов Владимир Владимрович ;Vladimir.Krivorogov@south.rt.ru ;+7(903)-462-28-85 ;Малышев Станислав Сергеевич ;Stanislav.Malyshev@south.rt.ru;(989)-728-1527 ;;;danger;Online Test;Благодатский;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
71055;Каменск-Шахтинский,переулок Астаховский,96;УИК №788;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);КМЦТЭТ;Организация нового канала ВОЛС;863930108188847.18;универсальный роутер ;10.65.18.17/ Eth 0/0/24;да;24;Кабинет МВД (КДН);Строительство по фасаду из подъезда 80м;;08.02.18;10.234.25.192/28;Добавлено;B61K0788;АИСиС -Регион;10.234.25.194;10.234.25.195;10.234.25.206;10.234.25.196;да;Да;10.234.25.193;2412;788KamenskperAstahovskiy96;Криворогов Владимир Владимрович ;Vladimir.Krivorogov@south.rt.ru ;+7(903)-462-28-85 ;Малышев Станислав Сергеевич ;Stanislav.Malyshev@south.rt.ru;(989)-728-1527 ;;;danger;Online Test;01.03.18 Попов;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
