Название муниципалитета;Наименование общеобразовательной организации;Адрес общеобразовательной организации;Скорость передачи данных по договору;Учетное имя в АСР Onyma;PE маршрутизатор;Интерфейс;IP WAN (/30);IP LAN (/27);Оборудование ПМ;Порт ПМ;Примечание;;;;;
Столбец №1;Столбец №2;Столбец №3;Столбец №6;Столбец №8;Столбец №9;Столбец №10;Столбец №11;Столбец №12;Столбец №13;Столбец №14;Столбец №15;;;;;
Мартыновский район;МБОУ СОШ №3 сл. Большая Орловка;346680 Российская Федерация, Ростовская область, Мартыновский район, сл. Большая Орловка, переулок Школьный, 20а;2048 Кбит/с;8631390871;20.0.0.95;;172.23.165.213;10.61.46.160;10.30.95.49;0/ 0/ 0;;;;;;
Мартыновский район;МБОУ СОШ №4 х.Малоорловский;346676 Ростовская область, Мартыновский район, х.Малоорловский, ул. Новая, 20;1024 Кбит/с;8631391059;20.0.0.95;;172.23.165.217;10.61.46.192;10.30.95.52;xdsl 1/1;;;;;;
Мартыновский район;МБОУ СОШ №5 п. Зеленолугский;346674 Ростовская область Мартыновский район п. Зеленолугский, пер. Строительный, 10;4096 Кбит/с;8631390872;20.0.0.95;Fa0/0.41;172.23.165.221;10.61.46.224;10.30.95.50;xdsl 4/6;;;;;;
Мартыновский район;МБОУ СОШ №6 х.Комаров;346681, Ростовская область Мартыновский район х.Комаров, ул. Школьная,19а;1024 Кбит/с;8631390873;20.0.0.95;;172.23.165.225;10.61.47.0;;vl42;;;;;;
Мартыновский район;МБОУ СОШ №7 х. Новоселовка;346677, Ростовская область, Мартыновский район хутор Новоселовка, улица Советская, 99;1024 Кбит/с;8631391060;80.254.100.4;lt-0/0/0.1902;172.23.165.229;10.61.47.32;10.30.95.21;1;;;;;;
Мартыновский район;МБОУ СОШ № 8 п.Крутобережный;346679, Ростовская область Мартыновский район  п.Крутобережный, ул.Мира, 27;2048 Кбит/с;8631390874;20.0.0.95;;172.23.165.233;10.61.47.64;10.30.95.37;6;;;;;;
Мартыновский район;МБОУ СОШ №9 х. Денисов;346671, Ростовская область, Мартыновский район, хутор Денисов, улица Школьная, 23;1024 Кбит/с;8631390875;20.0.0.95;;172.23.165.237;10.61.47.96;;vl44;;;;;;
Мартыновский район;МБОУ СОШ № 10 х.Новосадковский;346682, Ростовская область Мартыновский район х.Новосадковскийул.Майская, 17;1024 Кбит/с;8631391058;20.0.0.95;;172.23.165.241;10.61.47.128;10.30.95.44;vl45;;;;;;
Мартыновский район;МБОУ СОШ №11 п.Новоберезовка;346665, Ростовская область, Мартыновский район, поселок Новоберезовка, улица Школьная , 1 б;1024 Кбит/с;8631391061;20.0.0.95;;172.23.165.253;10.61.47.224;10.30.95.14;0/1/1;;;;;;
Мартыновский район;МБОУ СОШ  №12 п.Малая Горка;346672, Ростовская область, Мартыновский район  п.Малая Горка,  ул. Садовая,10;512 Кбит/с;8631391062;20.0.0.95;;172.23.166.1;10.61.48.0;10.30.95.46;vl49;;;;;;
Мартыновский район;МБОУ СОШ  №  13 п.Черёмухи;346673, Ростовская область   Мартыновский район   п.Черёмухи,  ул.  Ленина   11;512 Кбит/с;;20.0.0.95;;172.23.166.5;10.61.48.32;10.30.95.27;vl50;;;;;;
Мартыновский район;МБОУ СОШ   №14 х.Ильинов;346689,  Ростовская область   Мартыновский район   х.Ильинов,  ул.  Молодежная, 18;1024 Кбит/с;8631390879;20.0.0.95;;172.23.166.9;10.61.48.64;10.30.95.26;1;;;;;;
Мартыновский район;МБОУ СОШ  №15 п.Восход;346686,  Ростовская область   Мартыновский район  п.Восход, пер. Экскаваторный , 7;1024 Кбит/с;8631390880;80.254.100.4;lt-0/0/0.1904;172.23.166.13;10.61.48.96;10.30.95.3;Eth0/0/13;;;;;;
Мартыновский район;МБОУ СОШ   №16 х. Арбузов;346674, Ростовская область   Мартыновский район х.Арбузов, ул. Школьная, 24;2048 Кбит/с;8631390881;20.0.0.95;Fa0/0.58;172.23.166.17;10.61.48.128;10.30.95.68;atm-23(vl58);;;;;;
Мартыновский район;МБОУ СОШ №19х.Лесной;346670, Ростовская область Мартыновский район, х. Лесной, ул. Степная,1А;512 Кбит/с;;20.0.0.95;;172.23.165.245;10.61.47.160;10.30.95.23;1;;;;;;
Мартыновский район;МБОУ СОШ  №20 х.Сальский Кагальник;346675 Ростовская область,  Мартыновский район, хутор Сальский Кагальник, улица Центральная, 9;512 Кбит/с;8631391063;20.0.0.95;Fa0/0.54;172.23.166.29;10.61.48.224;10.30.95.5;Ethernet1/0/2;;;;;;
Матвеево-Курганский район;МБОУ Алексеевская СОШ;346972 Ростовская область, Матвеево-Курганский район, с. Алексеевка, ул. Советская, 73;512 Кбит/с;m2361_241;20.0.0.41;;172.23.166.45;10.61.49.96;10.30.41.130;2/15;;;;;;
Матвеево-Курганский район;МБОУ СОШ имени Почётного работника образования РФ В. А. Гретченко;346964 Ростовская область, Матвеево-Курганский район, с. Анастасиевка ул.Ленина, 62А;20 Мбит/с;m2380_241;80.254.100.4;lt-0/0/0.3569;172.23.166.49;10.61.49.128;10.30.41.149;Ethernet1/0/7;;;;;;
Матвеево-Курганский район;МБОУ Авило-Успенская СОШ;346960 Ростовская область, Матвеево-Курганский район, с. Авило-Успенка, ул. Школьная, 12 А;512 Кбит/с;m2377_241;20.0.0.41;;172.23.166.53;10.61.49.160;10.30.41.96;xdsl 1/1;;;;;;
Матвеево-Курганский район;МБОУ СОШ имени Героя Советского Союза Хайло В.;346989 Ростовская область, Матвеево-Курганский район, х. Большая Кирсановка ул.Советская, 64а;512 Кбит/с;m2369_241;20.0.0.41;;172.23.166.57;10.61.49.192;10.30.41.103;12;;;;;;
Матвеево-Курганский район;МБОУ Григорьевская СОШ;346966 Ростовская область, Матвеево-Курганский район, с. Григорьевка. пер. Центральный, 4;512 Кбит/с;m2360_241;20.0.0.41;;172.23.166.61;10.61.49.224;10.30.41.58;1;;;;;;
Матвеево-Курганский район;МБОУ Греко-Тимофеевская СОШ;346967 Ростовская область, Матвеево-Курганский район, с. Греково-Тимофеевка, ул. Мира, 46;512 Кбит/с;m2366_241;20.0.0.41;;172.23.166.65;10.61.50.0;10.30.41.59;1;;;;;;
Матвеево-Курганский район;МБОУ Екатериновская СОШ;346965 Ростовская область, Матвеево-Курганский район, с. Екатериновка, пер. Школьный, 6;512 Кбит/с;8631524115;20.0.0.41;;172.23.166.69;10.61.50.32;10.30.41.63;0/1/1;;;;;;
Матвеево-Курганский район;МБОУ Кульбаковская СОШ;346988 Ростовская область, Матвеево-Курганский район, с. Кульбаково, пер. Школьный, 18;512 Кбит/с;m2368_241;20.0.0.41;;172.23.166.73;10.61.50.64;10.30.41.118;0/ 0/ 4 ;;;;;;
Матвеево-Курганский район;МБОУ Латоновская СОШ;346969 Ростовская область, Матвеево-Курганский район,с. Латоново, ул. Ленина, 44;512 Кбит/с;m2376_241;20.0.0.41;;172.23.166.77;10.61.50.96;10.30.41.64;(vl1042) 0/0/1;;;;;;
Матвеево-Курганский район;МБОУ Ленинская СОШ;346980 Ростовская область, Матвеево-Курганский район, пос. Ленинский, ул. Центральная, 39;512 Кбит/с;m2362_241;20.0.0.41;;172.23.166.81;10.61.50.128;10.30.41.113;7;;;;;;
Матвеево-Курганский район;МБОУ Матвеево-Курганская СОШ №1;346970 Ростовская область, п. Матвеев Курган, ул. 1-я Пятилетка, 111;2048 Кбит/с;m2363_241;;;;;10.30.43.172;5/25;;;;;;
Матвеево-Курганский район;МБОУ Матвеево-Курганская СОШ №2;346970 Ростовская область, п. Матвеев Курган, ул. Донецкая, 1;10 Мбит/с;m2371_241;80.254.100.4;lt-0/0/0.3534;172.23.166.89;10.61.50.192;10.30.43.174;9/23;;;;;;
Матвеево-Курганский район;МБОУ Малокирсановская СОШ имени Дважды Героя Советского Союза П. С. Кутахова;346968 Ростовская область, Матвеево-Курганский район, с. Малокирсановка, пер. Школьный, 31;512 Кбит/с;m2375_241;20.0.0.41;;172.23.166.101;10.61.51.32;10.30.41.57;0/1/1;;;;;;
Матвеево-Курганский район;МБОУ Марфинская СОШ;346963 Ростовская область, Матвеево-Курганский район, с. Марфинка, ул.Центральная, 2;512 Кбит/с;m2378_241;20.0.0.41;;172.23.166.105;10.61.51.64;10.30.41.54;1;;;;;;
Матвеево-Курганский район;МБОУ Марьевская СОШ имени воина-афганца Н. П. Лапшичева;346978 Ростовская область, Матвеево-Курганский район, с. Марьевка, пер. Первомайский, 10;20 Мбит/с;m2367_241;80.254.100.4;lt-0/0/0.3569;172.23.166.109;10.61.51.96;10.30.41.105;Ethernet1/0/3;;;;;;
Матвеево-Курганский район;МБОУ Новоандриановская СОШ;346979 Ростовская область, Матвеево-Курганский район, с. Новоандриановка, ул. Школьная, 32;512 Кбит/с;m2381_241;20.0.0.41;;172.23.166.113;10.61.51.128;10.30.41.85;vl1050(порт 19);;;;;;
Матвеево-Курганский район;МБОУ Новониколаевская СОШ;346961 Ростовская область, Матвеево-Курганский район, с. Новониколаевка, ул. Ленина, 70А;512 Кбит/с;m2372_241;20.0.0.41;;172.23.166.117;10.61.51.160;10.30.41.114;16;;;;;;
Матвеево-Курганский район;МБОУ Политодельская СОШ;346977 Ростовская область, Матвеево-Курганский район, с. Политотдельское, пер. Школьный, 5;512 Кбит/с;m2382_241;20.0.0.41;;172.23.166.121;10.61.51.192;10.30.41.88;1;;;;;;
Матвеево-Курганский район;МБОУ Ряженская СОШ;346974 Ростовская область, Матвеево-Курганский район, с. Ряженое, ул. Лермонтова, 1;512 Кбит/с;m2374_241;80.254.100.4;lt-0/0/0.1742;172.23.166.125;10.61.51.224;10.30.41.119;0/ 2/34;;;;;;
Матвеево-Курганский район;МБОУ Сад-Базовская СОШ;346991 Ростовская область, Матвеево-Курганский район, п. Крынка, ул. Светлая, 19;20 Мбит/с;m2373_241;80.254.100.4;lt-0/0/0.3573;172.23.166.129;10.61.52.0;10.30.41.78;1;;;;;;
Матвеево-Курганский район;МБОУ Комбайновская СОШ имени воина-афганца Алексея Демяника;346975 Ростовская область, Матвеево-Курганский район, с. Рясное, ул. Таганрогская, 2а;2048 Кбит/с;m2364_241;80.254.100.4;lt-0/0/0.1658;172.23.166.133;10.61.52.32;10.30.41.129;0/ 1/ 1;;;;;;
Матвеево-Курганский район;МБОУ Матвеево-Курганская Открытая (Сменная) Общеобразовательная Школа;346970 Ростовская область, п. Матвеев Курган, ул. Таганрогская, 112а;2048 Кбит/с;;20.0.0.41;;172.23.166.97;10.61.51.0;10.30.43.174;9/24;;;;;;
Матвеево-Курганский район;ГКОУ РО Матвеево-Курганская специальная школа-интернат;346970 Ростовская область, п.Матвеев Курган, улица 40 лет Пионерии, 3;2048 Кбит/с;;20.0.0.97;;172.23.177.129;10.61.140.0;10.30.43.172;7/35;;;;;;
Миллеровский район;МБОУ Волошинская СОШ;346116, Ростовская обл., Миллеровский р-он, с. Волошино, ул. Советская, 39;2048 Кбит/с;;20.0.0.15;;172.23.166.193;10.61.54.0;10.30.85.11;1/0/0;;;;;;
Миллеровский район;МБОУ Дегтевская СОШ;346105, Ростовская обл., Миллеровский р-он, с. Дегтево, ул. Школьная, д. 18;512 Кбит/с;;20.0.0.15;Fa0/0.328;172.23.166.201;10.61.54.64;10.30.85.156;0/1/1;;;;;;
Миллеровский район;МБОУ Колодезянская СОШ;346141, Ростовская обл., Миллеровский р-он, с. Колодези, ул. Советская, д. 13 ;512 Кбит/с;;20.0.0.15;Fa0/0.329;172.23.166.205;10.61.54.96;10.30.15.4;Eth0/0/3(vl329);;;;;;
Миллеровский район;МБОУ Кудиновская ООШ;346042,  Ростовская обл., Миллеровский р-он, с. Кудиновка, ул. Победы,  д. 2;512 Кбит/с;;80.254.100.4;lt-0/0/0.1247;172.23.166.213;10.61.54.160;10.30.85.130; xdsl 1/1;;;;;;
Миллеровский район;МБОУ Ленинская СОШ;346110, Ростовская обл., Миллеровский р-он, п. Долотинка, ул. Школьная, д. 7 ;512 Кбит/с;;80.254.100.4;lt-0/0/0.1255;172.23.167.13;10.61.56.96;10.30.85.186;0/1/15;;;;;;
Миллеровский район;МБОУ лицей №7 имени маршала авиации А.Н.Ефимова;346130, Ростовская обл., г. Миллерово, кв-л  Маршала Ефимова, д. 9;4096 Кбит/с;rs00374542;80.254.100.4;lt-0/0/0.1125;172.23.179.37;10.61.153.32;10.85.1.10;GE0/0/3;;;;;;
Миллеровский район;МБОУ Мальчевская СОШ;346140, Ростовская обл., Миллеровский р-он,  ст-ца  Мальчевская,  ул.  Галдобина,  д. 2  ;1024 Кбит/с;8631172453;20.0.0.15;;172.23.179.41;10.61.153.64;10.30.85.14;0/ 0/ 6;;;;;;
Миллеровский район;МБОУ Марьевская СОШ;346108, Ростовская обл., Миллеровский р-он, х. Хмызов, ул. Ленина, д. 11 ;512 Кбит/с;;20.0.0.15;;172.23.166.217;10.61.54.192;10.30.85.190;xdsl 1/1;;;;;;
Миллеровский район;МБОУ Нижне-Ольховская СОШ;346124, Ростовская обл. Миллеровский р-он,  с. Позднеевка, ул. Широкая, д. 12;1024 Кбит/с;;20.0.0.15;Fa0/0.337;172.23.166.237;10.61.55.96;10.30.15.4;Eth0/0/5(vl337);;;;;;
Миллеровский район;МБОУ Никольская СОШ;346125, Ростовская обл., Миллеровский р-он, с. Никольское, ул. Школьная, д. 43;512 Кбит/с;;20.0.0.15;;172.23.166.221;10.61.54.224;10.30.85.157;1;;;;;;
Миллеровский район;МБОУ Ольхово-Рогская СОШ;346103, Ростовская обл. Миллеровский р-он, с. Ольховый Рог, ул. Вокзальная, д. 6  ;2048 Кбит/с;;20.0.0.15;;172.23.166.233;10.61.55.64;10.30.85.116;0/1/1;;;;;;
Миллеровский район;МБОУ Первомайская СОШ;346101, Ростовская обл. Миллеровский р-он,  х. Мало-Токмацкий, ул. Школьная, д.3;512 Кбит/с;;80.254.100.4;lt-0/0/0.1253;172.23.167.21;10.61.56.160;10.30.85.188;xdsl 1/1;;;;;;
Миллеровский район;МБОУ Полненская СОШ;346144,   Ростовская обл. Миллеровский р-он, сл. Мальчевско-Полненская, ул. Школьная, д. 16 ;512 Кбит/с;;80.254.100.4;lt-0/0/0.1251;172.23.167.5;10.61.56.32;10.30.85.136;1;;;;;;
Миллеровский район;МБОУ СОШ № 2 ;346130, Ростовская обл., г. Миллерово,ул. Осоавиахима, д. 15;512 Кбит/с;;80.254.100.4;lt-0/0/0.1115;172.23.166.169;10.61.53.64;10.61.53.64;6/0/47;;;;;;
Миллеровский район;МБОУ Терновская ООШ №2;346104,  Ростовская обл. Миллеровский р-он,  х. Терновой, ул. Школьная, д. 42;512 Кбит/с;;20.0.0.15;Fa0/0.325;172.23.166.189;10.61.53.224;10.30.15.4;Eth0/0/7(vl325);;;;;;
Миллеровский район;МБОУ Терновская СОШ № 1;346107, Ростовская обл., Миллеровский р-он, с. Терновая, ул.Школьная,д. 22 ;512 Кбит/с;;20.0.0.15;Fa0/0.340;172.23.166.249;10.61.55.192;10.30.15.120;Ethernet1/0/16(vl340);;;;;;
Миллеровский район;МБОУ Туриловская СОШ;346044,  Ростовская обл. Миллеровский р-он, с. Туриловка, ул. Молодежная, д. 2 ;1024 Кбит/с;;80.254.100.4;lt-0/0/0.1249;172.23.167.1; 10.61.56.0;10.30.85.133;1;;;;;;
Миллеровский район;МБОУ Туроверовская ООШ;346120,  Ростовская обл. Миллеровский р-он,  х.  Туроверово, ул. Российская, д. 48;512 Кбит/с;;20.0.0.15;Fa0/0.348;172.23.167.29;10.61.56.224;10.30.15.4;Ethernet0/0/12(vl348);;;;;;
Миллеровский район;МБОУ Фоминская ООШ;346102,  Ростовская обл. Миллеровский р-он, х. Фоминка, ул. Мира, д. 61;1024 Кбит/с;;20.0.0.15;;172.23.167.33;10.61.57.0;10.30.85.144;1;;;;;;
Миллеровский район;МБОУ Верхнеталовская СОШ;346120, Ростовская обл., Миллеровский р-он, х. Верхнеталовский, ул. Центральная, д. 38;512 Кбит/с;;20.0.0.15;Fa0/0.344;172.23.167.9;10.61.56.64;10.30.15.4;Eth0/0/12(vl344);;;;;;
Миллеровский район;МБОУ Вечерняя (сменная) ОШ;346130,Ростовская обл.,  г. Миллерово, ул. Вокзальная, д. 26;2048 Кбит/с;;80.254.100.4;lt-0/0/0.1123;172.23.167.41;10.61.57.64;10.30.15.10;9/0/2;;;;;;
Миллеровский район;МБОУ Грековсккая ООШ;346111, Ростовская обл. Миллеровский р-он, с. Греково, ул. Центральная, д. 3 ;512 Кбит/с;;20.0.0.14;;172.23.166.197;10.61.54.32;10.30.85.151;1;;;;;;
Миллеровский район;МБОУ Криворожская СОШ;346123,  Ростовская обл., Миллеровский р-он, сл. Криворожье,  ул. Ленина, д. 47;512 Кбит/с;;20.0.0.14;;172.23.166.209;10.61.54.128;10.30.85.191; xdsl 1/1;;;;;;
Миллеровский район;МБОУ Курская ООШ;346122,  Ростовская обл., Миллеровский р-он, х. Каменка, ул. Почтовая, д. 15 ;512 Кбит/с;;20.0.0.15;;172.23.167.17;10.61.56.128;10.30.85.115;1;;;;;;
Миллеровский район;МБОУ Нагольненская СОШ;346114,  Ростовская обл., Миллеровский р-он, с. Н-Нагольная, ул. Российская, д. 1 ;512 Кбит/с;;20.0.0.15;Fa0/0.335;172.23.166.229;10.61.55.32;;vl335;;;;;;
Миллеровский район;МБОУ Рогаликовская ООШ;346113, Ростовская обл. Миллеровский р-он, с. Рогалик, ул. Дружбы, д. 1;1024 Кбит/с;8631172460;20.0.0.15;;172.23.166.241;10.61.55.128;10.30.85.167;1;;;;;;
Миллеровский район;МОУ СОШ № 5;346130, Ростовская обл., г. Миллерово, ул. Энгельса, д. 26;2048 Кбит/с;;80.254.100.4;lt-0/0/0.1119;172.23.166.181;10.61.53.160;10.85.18.146;Eth0/0/16;;;;;;
Миллеровский район;МБОУ Титовская СОШ;346118, Ростовская обл. Миллеровский р-он, с. Титовка, ул. Школьная, д.16;512 Кбит/с;;80.254.100.4;lt-0/0/0.1363;172.23.166.253;10.61.55.224;10.30.85.165;0/1/1;;;;;;
Миллеровский район;МБОУ Сулиноская СОШ;346112,  Ростовская обл. Миллеровский р-он, с. Сулин, ул. Центральная, д. 6;512 Кбит/с;;80.254.100.4;lt-0/0/0.1363;172.23.166.245; 10.61.55.160;10.30.85.169;xdsl 1/1;;;;;;
Милютинский район;МБОУ Маньково-Березовская СОШ;Милютинский район, сл. Маньково-Березовская, пер. Соборный, 7;1024 Кбит/с;8631400608;80.254.100.4;lt-0/0/0.3141;172.23.167.69; 10.61.58.32;10.30.89.31; xdsl 1/1;;;;;;
Милютинский район;МБОУ Лукичевская СОШ;Милютинский район, х. Сулинский, пер. Парковый, 1;1024 Кбит/с;8631400606;80.254.100.4;lt-0/0/0.2138;172.23.167.117;10.61.59.160;10.30.89.42;xdsl 1/1;;;;;;
Милютинский район;МБОУ Новодмитриевская СОШ;Милютинский район, х. Новодмитриевский, ул. Новодмитриевка 12;512 Кбит/с;8631400611;80.254.100.4;lt-0/0/0.1614;172.23.167.101;10.61.59.32;10.30.89.52;aal5-15(vl787);;;;;;
Милютинский район;МБОУ Кутейниковская СОШ;Милютинский район, х. Кутейников, ул. Школьная, 10;4096 Кбит/с;8631400607;80.254.100.4;lt-0/0/0.2264;172.23.167.85;10.61.58.160;10.30.89.12;vl777;;;;;;
Милютинский район;МБОУ Селивановская СОШ;Милютинский район, ст. Селивановская, ул. Титова, 21;1024 Кбит/с;8631400610;80.254.100.4;lt-0/0/0.2266;172.23.167.77;10.61.58.96;10.30.89.34;xdsl 1/1;;;;;;
Милютинский район;МБОУ Светочниковская СОШ;Милютинский район, п. Светоч, ул. Западная д. 2/2;4096 Кбит/с;8631400604;80.254.100.4;lt-0/0/0.2268;172.23.167.57;10.61.57.192;10.30.89.8;vl777;;;;;;
Милютинский район;МБОУ Каменная СОШ;Милютинский район, п. Доброполье, ул. Солнечная, 2;512 Кбит/с;qsazdzd8y6;80.254.100.4;lt-0/0/0.1666;172.23.167.53;10.61.57.160;10.30.89.56;aal5-10(vl792);;;;;;
Милютинский район;МБОУ Николо-Березовская СОШ;Милютинский район, х. Николовка, пер. Школьный, 2;512 Кбит/с;;80.254.100.4;lt-0/0/0.2270;172.23.167.97;10.61.59.0;10.30.89.28;aal5-0(vl777);;;;;;
Милютинский район;МБОУ Петровская СОШ;Милютинский район, х. Нижнепетровский, ул. Ермака, 3;512 Кбит/с;8631400612;80.254.100.4;lt-0/0/0.2272;172.23.167.89;10.61.58.192;10.30.89.30;vl777(0/1/1);;;;;;
Милютинский район;МБОУ Первомайская ООШ;Милютинский район, х. Николаевский, ул. Молодежная, 4;512 Кбит/с;8631400613;80.254.100.4;lt-0/0/0.2274;172.23.167.93;10.61.58.224;10.30.89.27;vl777(1);;;;;;
Милютинский район;МБОУ Россошанская ООШ;Милютинский район, х. Севостьянов, ул. Школьная, 23;512 Кбит/с;8631400602;;;;;;;Нет данных ip;;;;;
Милютинский район;МБОУ Степано-Савченская ООШ;Милютинский район, х. Степано- Савченский, ул. Школьная, 18;512 Кбит/с;8631400609;80.254.100.4;lt-0/0/0.3139;172.23.167.113;10.61.59.128;10.30.89.33;aal5-0(vl790);;;;;;
Милютинский район;МБОУ Авангардовская ООШ;Милютинский район, п. Аграрный, ул. Строительная, 18/27;512 Кбит/с;8631400615;80.254.100.4;lt-0/0/0.1612;172.23.167.49;10.61.57.128;10.30.89.55;16;;;;;;
Милютинский район;МБОУ Орловская НОШ;Милютинский район, х. Орлов, ул. Почтовая, 3;4096 Кбит/с;et5rthswy7;80.254.100.4;lt-0/0/0.2276;172.23.167.105;10.61.59.64;10.30.89.70;Ethernet0/0/1(vl777);;;;;;
Милютинский район;МБОУ Терновская ООШ;Милютинский район, х. Терновой, ул. Линейная, д. 3/1;512 Кбит/с;;20.0.0.19;;172.23.167.121;10.61.59.192;;vl777;В данный момент не подключен;;;;;
Морозовский район;МБОУ СОШ № 3;347210 Ростовская область, г. Морозовск, ул. Ленина,296;2048 Кбит/сек;8631422079;80.254.100.4;lt-0/0/0.3563;172.23.177.113;10.61.139.128;10.30.84.15;9/0/11;;;;;;
Морозовский район;Вознесенская ООШ филиал МБОУ СОШ № 3;347204, Ростовская обл, Морозовский район, х. Вознесенский, ул. Школьная 10;512 Кбит/с;8631422204;20.0.0.14;;172.23.167.181;10.61.61.160;10.30.84.5;Eth0/0/6(vl414);;;;;;
Морозовский район;МБОУ СОШ № 4;347210 Ростовская обл., г. Морозовск, ул. Руднева, 98;2048 Кбит/сек;8631422078;20.0.0.14;;172.23.167.141;10.61.60.96;10.30.84.15;5/0/41;;;;;;
Морозовский район;Общанская ООШ филиал МБОУ СОШ № 4;347227, Ростовская обл., Морозовский р-н., х. Общий, ул. Энтузиастов, 33;512 Кбит/с;8631422201;20.0.0.14;Fa0/0.419;172.23.167.201;10.61.62.64;10.30.84.75;Ethernet0/0/1(vl419);;;;;;
Морозовский район;Вишневская ООШфилиал МБОУ  «Гимназия № 5 г. Морозовска»;347226,Ростовская обл, Морозовский р-н, х. Вишневка, ул. Центральная,38;512 Кбит/с;8631422202;20.0.0.14;Fa0/0.413;172.23.167.177;10.61.61.128;10.30.84.74;Ethernet0/0/1(vl413);;;;;;
Морозовский район;МБОУ СОШ № 6;347210 Ростовская обл, г.Морозовск, ул. Ворошилова, 170;2048 Кбит/сек;8631422075;20.0.0.14;;172.23.167.145;10.61.60.128;10.30.84.15;5/0/4;;;;;;
Морозовский район;Донсковская ООШ филиал МБОУ СОШ № 6;347205, Ростовская обл., Морозовский р-н., х. Донской, ул. Школьная, 17;4096 Кбит/с;8631422076;;;;;;;Нет данных ip;;;;;
Морозовский район;МБОУ лицей № 1;347210, Ростовская обл. , г. Морозовск, ул. Ворошилова, 264;2048 Кбит/сек;8631422251;20.0.0.14;;172.23.167.149;10.61.60.160;10.30.84.15;5/0/7;;;;;;
Морозовский район;МБОУ Ново-Павловская СОШ;347203 Ростовская обл., Морозовский р-н, х.Костино-Быстрянский, ул.Комсомольская, 5;512 Кбит/с;8631422211;20.0.0.14;Fa0/0.417;172.23.167.193;10.61.62.0;10.30.84.80;Ethernet1/0/8(vl417);;;;;;
Морозовский район;МБОУ Вольно-Донская СОШ;347202 Ростовская обл., Морозовский р-он, ст. Вольно-Донская, ул. Стадионная, 3;1024 Кбит/с;8631422209;20.0.0.14;Fa0/0.409;172.23.167.161;10.61.61.0;10.30.84.5;Ethernet0/0/10(vl409);;;;;;
Морозовский район;МБОУ Знаменская СОШ;347240, Ростовская обл., Морозовский р-н., пос. Знаменка, ул. Ленина, 22;4096 Кбит/с;8631422077;20.0.0.14;Fa0/0.407;172.23.167.153;10.61.60.192;10.30.84.57;Ethernet0/0/8(vl407);;;;;;
Морозовский район;МБОУ Грузиновская СОШ;347222, Ростовская область, Морозовский район, х. Грузинов, ул. Центральная, 55;512 Кбит/с;8631422206;20.0.0.14;Fa0/0.415;172.23.167.185;10.61.61.192;10.30.84.5;Ethernet0/0/7(vl415);;;;;;
Морозовский район;МБОУ Владимировская СОШ;347220 Ростовская обл., Морозовский р-н, х.Беляев, ул.Молодежная, 2б;512 Кбит/с;8631422212;20.0.0.14;Fa0/0.411;172.23.167.169;10.61.61.64;10.30.84.80;Ethernet1/0/6(vl411);;;;;;
Морозовский район;МБОУ Вербочанская СОШ;347223, Ростовская обл., Морозовский р-н., х. Вербочки, ул. Мира, 23 а ;512 Кбит/с;8631422210;20.0.0.14;;172.23.167.173;10.61.61.96;10.30.84.23;xdsl 1/1;;;;;;
Морозовский район;МБОУ Александровская СОШ;347233, Ростовская обл., Морозовский р-н., х. Александров, ул. Центральная, 11А ;512 Кбит/с;rs00380206;20.0.0.14;Fa0/0.410;172.23.167.165;10.61.61.32;10.30.84.5;Ethernet0/0/5(vl410);;;;;;
Морозовский район;МБОУ Старо-Петровская СОШ;Ростовская область, Морозовский район, х.Старопетровский, ул.Абрикосовая, 25;1024 Кбит/с;8631422208;20.0.0.14;Fa0/0.421;172.23.167.209;10.61.62.128;10.30.84.57;Ethernet0/0/4(vl421);;;;;;
Морозовский район;МБОУ Парамоновская ООШ;347235, Ростовская область, Морозовский район, х. Парамонов, ул. Школьная, 48;4096 Кбит/с;8631422207;20.0.0.14;Fa0/0.420;172.23.167.205;10.61.62.96;10.30.84.57;Ethernet0/0/5(vl420);;;;;;
Морозовский район;МБОУ Чекаловская ООШ;347221 Ростовская обл., Морозовский р-н, х. Чекалов, ул. Центральная 16в;512 Кбит/с;8631422203;20.0.0.14;Fa0/0.422;172.23.167.213;10.61.62.160;10.30.84.80;Ethernet1/0/3(vl422);;;;;;
Морозовский район;МБОУ Широко-Атаманская ООШ;347200, Ростовская область, Морозовский район, х. Широко-Атамановский, ул. Мира, 33;512 Кбит/с;8631422252;20.0.0.14;;172.23.167.217;10.61.62.192;10.30.84.27;1;;;;;;
Морозовский район;МБОУ Николаевская ООШ;347241, Ростовская обл., Морозовский р-н., х. Николаев, ул. Придорожная, 29а ;512 Кбит/с;8631422205;20.0.0.14;Fa0/0.418;172.23.167.197;10.61.62.32;10.30.84.5;Eth0/0/5(vl418);;;;;;
Мясниковский район;МБОУ Чалтырская СОШ № 1;Ростовская область, Мясниковский район, с. Чалтырь, ул. Ленина, 31;2048 Кбит/с;;80.254.100.4;lt-0/0/0.1361;172.23.179.29;10.61.152.224;10.30.49.254;0/ 1/16;;;;;;
Мясниковский район;МБОУ СОШ №8;Мясниковский район, с.Большие Салы, ул. Оганяна, д.7;2048 Кбит/с;8631601119;80.254.100.4;lt-0/0/0.1363;172.23.167.233;10.61.63.64;10.30.49.33;0/0/2;Расторгли договор;;;;;
